slug,startDate,endDate,p_up,p_down
btc-updown-5m-1777766400,2026-05-02T00:09:18.006875Z,2026-05-03T00:05:00Z,1,0
btc-updown-5m-1777766700,2026-05-02T00:16:07.703427Z,2026-05-03T00:10:00Z,0,1
btc-updown-5m-1777767000,2026-05-02T00:18:38.418282Z,2026-05-03T00:15:00Z,0,1
btc-updown-5m-1777767300,2026-05-02T00:23:53.983605Z,2026-05-03T00:20:00Z,1,0
btc-updown-5m-1777767600,2026-05-02T00:28:39.434744Z,2026-05-03T00:25:00Z,1,0
btc-updown-5m-1777767900,2026-05-02T00:34:09.713598Z,2026-05-03T00:30:00Z,1,0
btc-updown-5m-1777768200,2026-05-02T00:38:41.164999Z,2026-05-03T00:35:00Z,1,0
btc-updown-5m-1777768500,2026-05-02T00:43:38.228084Z,2026-05-03T00:40:00Z,1,0
btc-updown-5m-1777768800,2026-05-02T00:49:10.226718Z,2026-05-03T00:45:00Z,0,1
btc-updown-5m-1777769100,2026-05-02T00:54:08.091213Z,2026-05-03T00:50:00Z,0,1
btc-updown-5m-1777769400,2026-05-02T00:58:36.682851Z,2026-05-03T00:55:00Z,0,1
btc-updown-5m-1777769700,2026-05-02T01:03:33.490781Z,2026-05-03T01:00:00Z,1,0
btc-updown-5m-1777770000,2026-05-02T01:08:37.430655Z,2026-05-03T01:05:00Z,0,1
btc-updown-5m-1777770300,2026-05-02T01:13:41.511183Z,2026-05-03T01:10:00Z,0,1
btc-updown-5m-1777770600,2026-05-02T01:19:07.813598Z,2026-05-03T01:15:00Z,1,0
btc-updown-5m-1777770900,2026-05-02T01:24:11.528863Z,2026-05-03T01:20:00Z,0,1
btc-updown-5m-1777771200,2026-05-02T01:29:12.325225Z,2026-05-03T01:25:00Z,0,1
btc-updown-5m-1777771500,2026-05-02T01:34:09.273114Z,2026-05-03T01:30:00Z,1,0
btc-updown-5m-1777771800,2026-05-02T01:38:36.115217Z,2026-05-03T01:35:00Z,0,1
btc-updown-5m-1777772100,2026-05-02T01:43:21.391839Z,2026-05-03T01:40:00Z,0,1
btc-updown-5m-1777772400,2026-05-02T01:48:34.385347Z,2026-05-03T01:45:00Z,1,0
btc-updown-5m-1777772700,2026-05-02T01:53:34.707601Z,2026-05-03T01:50:00Z,1,0
btc-updown-5m-1777773000,2026-05-02T01:58:38.262407Z,2026-05-03T01:55:00Z,0,1
btc-updown-5m-1777773300,2026-05-02T02:03:37.126298Z,2026-05-03T02:00:00Z,0,1
btc-updown-5m-1777773600,2026-05-02T02:08:33.794568Z,2026-05-03T02:05:00Z,1,0
btc-updown-5m-1777773900,2026-05-02T02:14:05.765333Z,2026-05-03T02:10:00Z,1,0
btc-updown-5m-1777774200,2026-05-02T02:18:22.211868Z,2026-05-03T02:15:00Z,0,1
btc-updown-5m-1777774500,2026-05-02T02:23:43.82067Z,2026-05-03T02:20:00Z,0,1
btc-updown-5m-1777774800,2026-05-02T02:29:13.528794Z,2026-05-03T02:25:00Z,1,0
btc-updown-5m-1777775100,2026-05-02T02:33:20.957611Z,2026-05-03T02:30:00Z,0,1
btc-updown-5m-1777775400,2026-05-02T02:38:41.580359Z,2026-05-03T02:35:00Z,1,0
btc-updown-5m-1777775700,2026-05-02T02:44:05.040942Z,2026-05-03T02:40:00Z,0,1
btc-updown-5m-1777776000,2026-05-02T02:48:37.446642Z,2026-05-03T02:45:00Z,0,1
btc-updown-5m-1777776300,2026-05-02T02:53:33.995138Z,2026-05-03T02:50:00Z,1,0
btc-updown-5m-1777776600,2026-05-02T02:58:45.553571Z,2026-05-03T02:55:00Z,1,0
btc-updown-5m-1777776900,2026-05-02T03:04:51.314518Z,2026-05-03T03:00:00Z,0,1
btc-updown-5m-1777777200,2026-05-02T03:08:44.191105Z,2026-05-03T03:05:00Z,0,1
btc-updown-5m-1777777500,2026-05-02T03:13:33.657734Z,2026-05-03T03:10:00Z,1,0
btc-updown-5m-1777777800,2026-05-02T03:18:16.617112Z,2026-05-03T03:15:00Z,0,1
btc-updown-5m-1777778100,2026-05-02T03:23:52.422644Z,2026-05-03T03:20:00Z,0,1
btc-updown-5m-1777778400,2026-05-02T03:28:03.517692Z,2026-05-03T03:25:00Z,0,1
btc-updown-5m-1777778700,2026-05-02T03:34:11.642952Z,2026-05-03T03:30:00Z,0,1
btc-updown-5m-1777779000,2026-05-02T03:38:37.444882Z,2026-05-03T03:35:00Z,1,0
btc-updown-5m-1777779300,2026-05-02T03:43:41.616262Z,2026-05-03T03:40:00Z,1,0
btc-updown-5m-1777779600,2026-05-02T03:49:10.024818Z,2026-05-03T03:45:00Z,0,1
btc-updown-5m-1777779900,2026-05-02T03:54:15.891895Z,2026-05-03T03:50:00Z,1,0
btc-updown-5m-1777780200,2026-05-02T03:59:08.262002Z,2026-05-03T03:55:00Z,1,0
btc-updown-5m-1777780500,2026-05-02T04:04:58.169937Z,2026-05-03T04:00:00Z,0,1
btc-updown-5m-1777780800,2026-05-02T04:08:21.058913Z,2026-05-03T04:05:00Z,0,1
btc-updown-5m-1777781100,2026-05-02T04:13:39.524622Z,2026-05-03T04:10:00Z,0,1
btc-updown-5m-1777781400,2026-05-02T04:18:50.024325Z,2026-05-03T04:15:00Z,1,0
btc-updown-5m-1777781700,2026-05-02T04:23:13.71985Z,2026-05-03T04:20:00Z,1,0
btc-updown-5m-1777782000,2026-05-02T04:28:35.933332Z,2026-05-03T04:25:00Z,1,0
btc-updown-5m-1777782300,2026-05-02T04:33:51.239104Z,2026-05-03T04:30:00Z,1,0
btc-updown-5m-1777782600,2026-05-02T04:38:47.739764Z,2026-05-03T04:35:00Z,0,1
btc-updown-5m-1777782900,2026-05-02T04:43:41.071912Z,2026-05-03T04:40:00Z,1,0
btc-updown-5m-1777783200,2026-05-02T04:48:35.274558Z,2026-05-03T04:45:00Z,0,1
btc-updown-5m-1777783500,2026-05-02T04:53:09.382058Z,2026-05-03T04:50:00Z,0,1
btc-updown-5m-1777783800,2026-05-02T04:58:18.166602Z,2026-05-03T04:55:00Z,1,0
btc-updown-5m-1777784100,2026-05-02T05:03:36.755563Z,2026-05-03T05:00:00Z,0,1
btc-updown-5m-1777784400,2026-05-02T05:08:25.027347Z,2026-05-03T05:05:00Z,1,0
btc-updown-5m-1777784700,2026-05-02T05:13:34.156086Z,2026-05-03T05:10:00Z,1,0
btc-updown-5m-1777785000,2026-05-02T05:19:12.277029Z,2026-05-03T05:15:00Z,0,1
btc-updown-5m-1777785300,2026-05-02T05:23:38.189234Z,2026-05-03T05:20:00Z,0,1
btc-updown-5m-1777785600,2026-05-02T05:29:14.11294Z,2026-05-03T05:25:00Z,1,0
btc-updown-5m-1777785900,2026-05-02T05:34:13.263059Z,2026-05-03T05:30:00Z,0,1
btc-updown-5m-1777786200,2026-05-02T05:38:49.637158Z,2026-05-03T05:35:00Z,1,0
btc-updown-5m-1777786500,2026-05-02T05:43:37.291713Z,2026-05-03T05:40:00Z,0,1
btc-updown-5m-1777786800,2026-05-02T05:49:07.570404Z,2026-05-03T05:45:00Z,0,1
btc-updown-5m-1777787100,2026-05-02T05:53:09.411933Z,2026-05-03T05:50:00Z,1,0
btc-updown-5m-1777787400,2026-05-02T05:58:07.908535Z,2026-05-03T05:55:00Z,1,0
