date,slug,startDate,endDate,p_up,p_down,resolved,outcome
2026-01-02,spx-up-or-down-on-january-2-2026,2025-12-31T13:01:06.160002Z,2026-01-02T21:00:00Z,1.0,0.0,False,
2026-01-05,spx-up-or-down-on-january-5-2026,2026-01-02T13:01:07.473463Z,2026-01-05T21:00:00Z,1.0,0.0,False,
2026-01-06,spx-up-or-down-on-january-6-2026,2026-01-05T13:01:12.662022Z,2026-01-06T21:00:00Z,1.0,0.0,False,
2026-01-07,spx-up-or-down-on-january-7-2026,2026-01-06T13:01:12.734748Z,2026-01-07T21:00:00Z,0.0,1.0,False,
2026-01-08,spx-up-or-down-on-january-8-2026,2026-01-07T13:01:03.867669Z,2026-01-08T21:00:00Z,1.0,0.0,False,
2026-01-09,spx-up-or-down-on-january-9-2026,2026-01-08T13:01:01.08851Z,2026-01-09T21:00:00Z,1.0,0.0,False,
2026-01-12,spx-up-or-down-on-january-12-2026,2026-01-09T13:01:14.331037Z,2026-01-12T21:00:00Z,1.0,0.0,False,
2026-01-13,spx-up-or-down-on-january-13-2026,2026-01-12T13:01:03.878223Z,2026-01-13T21:00:00Z,0.0,1.0,False,
2026-01-14,spx-up-or-down-on-january-14-2026,2026-01-13T13:00:57.517983Z,2026-01-14T21:00:00Z,0.0,1.0,False,
2026-01-15,spx-up-or-down-on-january-15-2026,2026-01-14T13:01:12.846954Z,2026-01-15T21:00:00Z,1.0,0.0,False,
2026-01-16,spx-up-or-down-on-january-16-2026,2026-01-15T13:01:32.359626Z,2026-01-16T21:00:00Z,0.0,1.0,False,
2026-01-20,spx-up-or-down-on-january-20-2026,2026-01-16T13:01:45.298773Z,2026-01-20T21:00:00Z,0.0,1.0,False,
2026-01-21,spx-up-or-down-on-january-21-2026,2026-01-20T13:01:08.315209Z,2026-01-21T21:00:00Z,1.0,0.0,False,
2026-01-22,spx-up-or-down-on-january-22-2026,2026-01-21T13:01:17.846595Z,2026-01-22T21:00:00Z,1.0,0.0,False,
2026-01-23,spx-up-or-down-on-january-23-2026,2026-01-22T13:01:45.665478Z,2026-01-23T21:00:00Z,1.0,0.0,False,
2026-01-26,spx-up-or-down-on-january-26-2026,2026-01-23T13:01:26.643102Z,2026-01-26T21:00:00Z,1.0,0.0,False,
2026-01-27,spx-up-or-down-on-january-27-2026,2026-01-26T13:02:39.522703Z,2026-01-27T21:00:00Z,1.0,0.0,False,
2026-01-28,spx-up-or-down-on-january-28-2026,2026-01-27T13:02:47.304802Z,2026-01-28T21:00:00Z,0.0,1.0,False,
2026-01-29,spx-up-or-down-on-january-29-2026,2026-01-28T13:02:41.238076Z,2026-01-29T21:00:00Z,0.0,1.0,False,
2026-01-30,spx-up-or-down-on-january-30-2026,2026-01-29T13:03:00.775631Z,2026-01-30T21:00:00Z,0.0,1.0,False,
2026-02-02,spx-up-or-down-on-february-2-2026,2026-01-30T13:02:54.005476Z,2026-02-02T21:00:00Z,1.0,0.0,False,
2026-02-03,spx-up-or-down-on-february-3-2026,2026-02-02T13:02:52.605493Z,2026-02-03T21:00:00Z,0.0,1.0,False,
2026-02-04,spx-up-or-down-on-february-4-2026,2026-02-03T13:03:21.910765Z,2026-02-04T21:00:00Z,0.0,1.0,False,
2026-02-05,spx-up-or-down-on-february-5-2026,2026-02-04T13:02:48.455021Z,2026-02-05T21:00:00Z,0.0,1.0,False,
2026-02-06,spx-up-or-down-on-february-6-2026,2026-02-05T13:02:47.401884Z,2026-02-06T21:00:00Z,1.0,0.0,False,
2026-02-09,spx-up-or-down-on-february-9-2026,2026-02-06T13:02:52.067085Z,2026-02-09T21:00:00Z,1.0,0.0,False,
2026-02-10,spx-up-or-down-on-february-10-2026,2026-02-09T13:02:37.760315Z,2026-02-10T21:00:00Z,0.0,1.0,False,
2026-02-11,spx-up-or-down-on-february-11-2026,2026-02-10T13:03:46.94627Z,2026-02-11T21:00:00Z,0.0,1.0,False,
2026-02-12,spx-up-or-down-on-february-12-2026,2026-02-11T13:03:32.773365Z,2026-02-12T21:00:00Z,0.0,1.0,False,
2026-02-13,spx-up-or-down-on-february-13-2026,2026-02-12T13:03:02.699113Z,2026-02-13T21:00:00Z,1.0,0.0,False,
2026-02-17,spx-up-or-down-on-february-17-2026,2026-02-13T13:02:39.357875Z,2026-02-17T21:00:00Z,1.0,0.0,False,
2026-02-18,spx-up-or-down-on-february-18-2026,2026-02-17T13:02:45.058784Z,2026-02-18T21:00:00Z,1.0,0.0,False,
2026-02-19,spx-up-or-down-on-february-19-2026,2026-02-18T13:03:26.746633Z,2026-02-19T21:00:00Z,0.0,1.0,False,
2026-02-20,spx-up-or-down-on-february-20-2026,2026-02-19T13:02:50.837679Z,2026-02-20T21:00:00Z,1.0,0.0,False,
2026-02-23,spx-up-or-down-on-february-23-2026,2026-02-20T13:03:35.596139Z,2026-02-23T21:00:00Z,0.0,1.0,False,
2026-02-24,spx-up-or-down-on-february-24-2026,2026-02-23T22:57:41.58317Z,2026-02-24T21:00:00Z,1.0,0.0,False,
2026-02-25,spx-up-or-down-on-february-25-2026,2026-02-24T13:03:27.375779Z,2026-02-25T21:00:00Z,1.0,0.0,False,
